,comment,TOXICITY,TOXICITY_bin
24,At least one did something useful and kept his balls and dic% the other one just did it for fame😁🤣🤣🤢,0.8075336,1.0
25,🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢,,
26,😍 Can't wait to see 🥑🍆🥒🍎🍓🍄 next year,0.14873488,0.0
27,You look ROUGH 🤢🤢,0.28395185,0.0
28,You like you have the plague plus coronavirus plus sars plus mers plus cancer plus mad cow disease all mixed in one. 🤢🤢🤢🤢🤢🤢🤢,0.6337802,1.0
29,This photo is just so wrong 🤢,0.24144502,0.0
30,wen ppl think its a good idea to get a sec change until they start aging like a man 💀😭,0.37231654,0.0
31,What the heck😂😂 Bruce is melting 🤢🤮🤮,0.50058925,1.0
32,What in the actual F?!?! 🤣🤣🤣🤣💀💀💀💀💀,0.4597017,0.0
33,🍆💦👩‍🦳,0.1804526,0.0
34,"Omg Bruce, you look like 💩",0.55474794,1.0
35,💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩,,
36,Imagine your daughters exploiting their workers for profit. 🤡 #payup,0.24099164,0.0
37,KANYE is a clown🤡 trying to sell an album...he's not mentally ill..and if he is @kimkardashian @krisjenner need to get him in the hospital for a psychiatric hold.,0.74476457,1.0
38,🤢🤢🤢🤮,0.10188383,0.0
39,🤢 just a dude in a 👗,0.15080774,0.0
40,🙌❤️❤️I love you 🖕,0.15469018,0.0
41,Explain how you go from winning gold medals to not know if you sit down or stand up too piss. 🤢,0.6364068,1.0
42,Oof only 45 followers that rough🤢🤮,0.15059961,0.0
43,🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤢🤢🤢🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮 I like both yo daughters tho,0.1495089,0.0
44,you are a MAN you cannot hidden that 🤮🤮👎,0.6640646,1.0
45,Oh boy! Thanks for the heads up for what’s going to “happen soon!” I wonder which false 🏴‍☠️ event will ensue first hmm!! Are you freaks even human or are you  really 🐍?,0.64006203,1.0
46,"Damn, 2020 is coming for you sis 🐍 LOL",0.8000531,1.0
47,"HEY ELLIE, JUST SAW YOUR POLITICAL SHOW WAS ON &amp; I JUST TURNED 👎🏻 y o u 👈🏻. OFFF!!!!!!!!!!",0.6047353,1.0
48,Then How we may know what she said 🙄.. We spent 1 min of our life to have a beep in the end 👎👎,0.102209285,0.0
49,@Inevitable_ET So the want to micro chip out Black America citizens first so you can brainwash themThe Gates are Evil people. Bill Gates doesn’t even have a degree in medicine. 😡😡😡 Americans don’t want your vaccine. You belong in jail.,0.59909475,1.0
50,🌺❤️😍,0.07428876,0.0
51,All the way Joe!!!! Nothing less 👍👍,0.094872944,0.0
52,❤️❤️❤️❤️❤️❤️,,
53,❤❤❤,0.025317412,0.0
54,@bbfskier this little guy is hilarious 😂❤️,0.3217773,0.0
55,RFR INSTANT 💓🧚🏼‍♀️💓💓🔥💓💓🔥🔥,0.11654159,0.0
56,Sweet❤️,0.031588566,0.0
57,🔥🔥🔥🤟🤟🤟🤟🤟🤟🤟🤟,,
58,💖💖,0.04761891,0.0
59,We all love YOU 😘😘😘,0.10173804,0.0
60,Yay! 😍,0.103095494,0.0
61,Queeriness! 🌈🌈🌈,0.17053695,0.0
62,The bang 🙃 I need the old Nicki bang back! Love you tho 😍👑,0.15127134,0.0
63,🙌🙌🙌,0.040409133,0.0
64,Today i dream that i see u and u are my bff its just a dream but that how much i adore u😭💖,0.15283363,0.0
65,💜💜💜💜💜💜,0.04986801,0.0
66,I was cackling!!! The banana char is just-  😭😭😭😭 honestly these people are really creative for thinking of that.,0.2586903,0.0
67,"@RepGiveBack @TSwiftIsMyIdo1 @vkuznetsova13 thank you for doing this! i followed them ever since ♡ my fave song is betty ^-^ coincidence that i have my nickname as well (it means a lot to me as a swiftie 🤣) even tho it's james' pov and he's a cheater, i just love how miss taylor swift bring back teenage love concepts ❤",0.31089434,0.0
68,😘😘😘😘😘,0.15352164,0.0
69,✨😍💖🔥💫🏳️‍🌈🌌☄️🌠❤️🧡💛💚💙💜,,
70,❤️Yes yes totally absolute twitch,0.18309665,0.0
71,😂 I actually thought the internet was talking to me xoxo I love Ellen!!!!,0.04469612,0.0
72,💜💗💜puppies!💗💜💗😍😍😍,0.16780224,0.0
73,🙏🏿🙏🏿🙏🏿🙏🏿🙏🏿🙏🏿🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️✊🏿,,
74,🍕🍕🍕🍕🍕🍕🍕🍕🍕🍕🍕🍕🍕,,
75,👑 🔥😍,0.10352091,0.0
76,Just Beautiful! Brought me to tears! ❤️,0.06846985,0.0
77,🤝🙌🙌🙌🙏❤💘💕💞❤💘💕💞🙂,,
78,🍕🍕🍕🍕🍕🍕🍕🍕,0.1118533,0.0
79,😭😭😭😭😭😭♥️♥️♥️😭♥️♥️♥️♥️♥️cuteness,0.15539859,0.0
80,"Thank you for your love, generosity and giving spirit. I heard about what you did in Kroger’s from the shade room. You’re always doing awesome acts of kindness. Again thank you! I’m a neighbor of yours being I just moved to Oakland City off of Avon. Hope to meet you one day. I just had to comment and say thank you for all you have done and all you are doing. May GOD continue to bless you! ❤️❤️❤️❤️",0.054825235,0.0
81,💗💗💗💗💗💗💗💗💗💗,,
82,Love it💖,0.061835486,0.0
83,So proud to be Korean too!👍👏👏,0.10013721,0.0
84,👏👏👏💕💕💕,0.10087613,0.0
85,Yes ma'am😘😍💋🔥🔥🔥,0.15240683,0.0
86,I just love this commercial 🥰🤗🥰🤗🥰,0.08798677,0.0
87,❤️❤️❤️❤️❤️❤️❤️❤️naturelle 😍😍😍😍😍😍,,
88,Absolutely stunning Maia! 💕👑,0.1521604,0.0
89,❤️🧡💛💚💙💜,0.150521,0.0
90,The best youtuber ever 😎,0.04744112,0.0
91,Beauttttiiiffffulll  😭❤,0.2870162,0.0
92,feature with 69 on the album 🔥🔥🔥,0.09978082,0.0
93,Love ❤️ Love testable talks !! That’s what’s real... thank you 🙏🏻 gracias ,0.069170065,0.0
94,"I really really reaaaallly love y’all 😭 not only talented, but humble and pure at heart",0.19298764,0.0
95,Nice shot @rorykramer 🔥,0.2882327,0.0
96,Congraaaaaatttttttttssssss 👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼,0.15468039,0.0
97,This was a nice reunion. Only thing that&#39;s missing is uncle Phil. RIP man.We miss you 😢😢😢,0.093898825,0.0
98,Slay 💕,0.69542736,1.0
99,THIS SAID LESBIAN RIGHTS 🥰🏳️‍🌈,0.76909274,1.0
